"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1914","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:44 MSK 2024","passed","Fri Dec 13 14:37:46 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2271","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:02 MSK 2024","passed","Fri Dec 13 14:35:04 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1677","Проверка перехода на страницу восстановления пароля по кнопке ""Восстановить пароль""","tests","Fri Dec 13 14:41:11 MSK 2024","passed","Fri Dec 13 14:41:13 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","2260","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:02 MSK 2024","passed","Fri Dec 13 14:38:04 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2682","Проверка перехода на ""Ленту заказов"" из формы авторизации","tests","Fri Dec 13 14:34:21 MSK 2024","passed","Fri Dec 13 14:34:24 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1681","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:34:52 MSK 2024","passed","Fri Dec 13 14:34:54 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2598","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:51 MSK 2024","passed","Fri Dec 13 14:37:53 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2255","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:34:58 MSK 2024","passed","Fri Dec 13 14:35:00 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4771","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:26 MSK 2024","passed","Fri Dec 13 14:39:31 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1802","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:29 MSK 2024","passed","Fri Dec 13 14:35:31 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4420","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:54 MSK 2024","passed","Fri Dec 13 14:39:58 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2696","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:06 MSK 2024","passed","Fri Dec 13 14:38:09 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2837","Проверка авторизации и перехода по клику на ""Личный кабинет""","tests","Fri Dec 13 14:41:37 MSK 2024","passed","Fri Dec 13 14:41:40 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","1703","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:40 MSK 2024","passed","Fri Dec 13 14:38:42 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1547","Проверка перехода на ""Конструктор"" из ""Ленты заказов""","tests","Fri Dec 13 14:34:08 MSK 2024","passed","Fri Dec 13 14:34:10 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4913","Проверка увеличения счетчика ""Выполнено за сегодня"" при создании нового заказа","tests","Fri Dec 13 14:40:35 MSK 2024","passed","Fri Dec 13 14:40:40 MSK 2024","TestOrderFeed","test_order_feed","",""
"","3079","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:39:12 MSK 2024","passed","Fri Dec 13 14:39:15 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2792","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:00 MSK 2024","passed","Fri Dec 13 14:36:03 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2870","Проверка авторизации и перехода в раздел ""История заказов""","tests","Fri Dec 13 14:41:48 MSK 2024","passed","Fri Dec 13 14:41:51 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","4831","Проверка увеличения счетчика ""Выполнено за сегодня"" при создании нового заказа","tests","Fri Dec 13 14:40:43 MSK 2024","passed","Fri Dec 13 14:40:47 MSK 2024","TestOrderFeed","test_order_feed","",""
"","2291","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:54 MSK 2024","passed","Fri Dec 13 14:37:57 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2505","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:26 MSK 2024","passed","Fri Dec 13 14:38:28 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3375","Проверка авторизации и выхода из аккаунта","tests","Fri Dec 13 14:41:59 MSK 2024","passed","Fri Dec 13 14:42:03 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","2057","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:24 MSK 2024","passed","Fri Dec 13 14:37:26 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","5190","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:05 MSK 2024","passed","Fri Dec 13 14:36:10 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2602","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:47 MSK 2024","passed","Fri Dec 13 14:37:49 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3471","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:22 MSK 2024","passed","Fri Dec 13 14:39:25 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4761","Проверка увеличения счетчика ""Выполнено за все время"" при создании нового заказа","tests","Fri Dec 13 14:40:23 MSK 2024","passed","Fri Dec 13 14:40:27 MSK 2024","TestOrderFeed","test_order_feed","",""
"","3897","Проверка авторизации и перехода по клику на ""Личный кабинет""","tests","Fri Dec 13 14:41:43 MSK 2024","passed","Fri Dec 13 14:41:46 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","2354","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:31 MSK 2024","passed","Fri Dec 13 14:38:33 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2466","Проверка перехода на ""Конструктор"" из Личного кабинета","tests","Fri Dec 13 14:33:57 MSK 2024","passed","Fri Dec 13 14:33:59 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2780","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:41 MSK 2024","passed","Fri Dec 13 14:36:44 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4232","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:32 MSK 2024","passed","Fri Dec 13 14:39:36 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2210","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:20 MSK 2024","passed","Fri Dec 13 14:37:23 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","5393","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:47 MSK 2024","passed","Fri Dec 13 14:35:53 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2433","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:40 MSK 2024","passed","Fri Dec 13 14:37:42 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1511","Проверка перехода на страницу восстановления пароля по кнопке ""Восстановить пароль""","tests","Fri Dec 13 14:41:08 MSK 2024","passed","Fri Dec 13 14:41:09 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","3291","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:39 MSK 2024","passed","Fri Dec 13 14:39:42 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3379","Проверка всплывающего окна с деталями заказа при клике на заказ","tests","Fri Dec 13 14:40:06 MSK 2024","passed","Fri Dec 13 14:40:09 MSK 2024","TestOrderFeed","test_order_feed","",""
"","3747","Проверка отображения заказов из ""Истории заказов"" пользователя в ""Ленте заказов""","tests","Fri Dec 13 14:40:11 MSK 2024","passed","Fri Dec 13 14:40:15 MSK 2024","TestOrderFeed","test_order_feed","",""
"","3373","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:44 MSK 2024","passed","Fri Dec 13 14:38:48 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2674","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:39:07 MSK 2024","passed","Fri Dec 13 14:39:09 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2441","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:37 MSK 2024","passed","Fri Dec 13 14:35:40 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","7984","Проверка появления заказа в разделе ""В работе"" после его оформления","tests","Fri Dec 13 14:40:58 MSK 2024","broken","Fri Dec 13 14:41:06 MSK 2024","TestOrderFeed","test_order_feed","",""
"","2104","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:32 MSK 2024","passed","Fri Dec 13 14:35:35 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2587","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:58 MSK 2024","passed","Fri Dec 13 14:38:00 MSK 2024","TestMainFunctionality","test_main_functionality","",""
